序号,代码,简称,事件类型,具体事项,交易日
57,code.300503,昊志机电,股份质押,"公司股东汤秀清将持有的本公司股份150万股质押给科学城(广州)绿色融资担保有限公司,质押起始日2025/06/23至质权人申请解除质押登记为止并于2025年06月23日办理质押登记手续。",2025-06-25
58,code.300615,欣天科技,资产重组,"鉴于公司当前在华南地区无自有生产基地且租金成本居高不下的现状,结合公司及全资子公司广东欣天新精密制造有限公司(以下简称“广东欣天新”)战略规划,公司拟通过广东欣天新以自有资金或者自筹资金购买位于东莞市黄江镇刁朗社区的工业土地使用权,该地块面积为15,722.47平方米,预计土地购置费用不低于人民币2,044万元(具体价格以国土部门挂牌成交价为准)。近日,公司全资子公司广东欣天新以人民币2,044万元竞得地块编号为2025WT040的国有建设用地使用权,与东莞市公共资源交易中心签订了《东莞市建设用地使用权成交结果确认书》,并与东莞市自然资源局签订了《国有建设用地使用权出让合同》。",2025-06-25
59,code.300662,科锐国际,对外担保,"2025年6月25日,公司与杭州银行股份有限公司北京中关村支行(以下简称“杭州银行中关村支行”)签署了《保证合同》,为安拓奥古与杭州银行中关村支行的融资事项提供连带责任保证有效期自2025-06-24至2026-06-23止。",2025-06-25
60,code.300663,科蓝软件,股份质押,"公司股东王安京将持有的本公司股份100万股质押给刘壮,质押起始日2025年6月23日至质权人申请为止并于2025年06月23日办理质押登记手续。",2025-06-25
61,code.300670,大烨智能,股份质押,"公司股东陈杰将持有的本公司股份1100万股质押给苏州市吴中典当有限责任公司,质押起始日2025/06/24至办理解除质押登记之日并于2025年06月24日办理质押登记手续。",2025-06-25
62,code.300761,立华股份,股份质押,"公司股东常州市奔腾牧业技术服务中心(有限合伙)将持有的本公司股份1400万股质押给招商证券股份有限公司,质押起始日期2025/06/23,到期日期2026/06/23并于2025年06月23日办理质押登记手续。",2025-06-25
63,code.300782,卓胜微,股份质押,"公司股东FENGCHENHUI(冯晨晖)将持有的本公司股份41万股质押给中信证券股份有限公司,质押起始日2025/06/24至质押解除之日并于2025年06月24日办理质押登记手续。",2025-06-25
64,code.301045,天禄科技,资产重组,"2023年12月29日,北京电控产业投资有限公司(以下简称“北京电控产投”)与安徽吉光股东等各方共同签署了《北京电控产业投资有限公司关于安徽吉光新材料有限公司之增资协议》,协议约定北京电控产投向安徽吉光投资2,000万元,认购新增注册资本2,000万元。安徽吉光的注册资本将在前次增资扩股的基础上继续增加至31,667万元,安徽吉光原股东同意并且确认放弃对该部分新增注册资本的优先权认购权。安徽吉光于近日完成了本次增资并办理了工商变更手续。",2025-06-25
65,code.301126,达嘉维康,对外担保,"近日,公司与广发银行股份有限公司长沙分行(以下简称“广发银行”)签订了《最高额保证合同》,同意为控股子公司湖南天济草堂制药股份有限公司(以下简称“天济草堂”)提供总额度人民币1,000.00万元的保证担保;公司与中国光大银行股份有限公司海口分行(以下简称“光大银行”)签订了《最高额保证合同》,同意为控股子公司海南达嘉维康鸿春堂药房连锁有限公司(以下简称“海南鸿春堂”)提供总额度人民币500.00万元的保证担保。",2025-06-25
66,code.301128,强瑞技术,对外担保,"鉴于公司之子公司深圳市三烨科技有限公司(以下简称“三烨科技”)的日常经营业务需要,三烨科技于2025年6月24日与中信银行股份有限公司深圳分行(以下简称“中信银行”)签署了编号为2025深银龙综字第0017号的《综合授信合同》(以下简称“《授信合同》”),中信银行向三烨科技提供人民币6,000万元整的综合授信额度。公司作为保证人,同步与中信银行签署了编号为2025深银龙最保字第0017号的《最高额保证合同》(以下简称“《保证合同》”),在2025年6月24日至2027年6月16日(包括该期间的起始日和届满日)期间所签署的主合同(包括借新还旧、展期、变更还款计划、还旧借新等债务重组业务合同)而享有的一系列债权内,为前述《授信合同》内债权本金人民币3,000万元整和相应的利息、罚息、复利、违约金、损害赔偿金、迟延履行期间的债务利息、迟延履行金以及为实现债权、担保权利等所发生的一切费用(包括但不限于诉讼费、仲裁费、律师费、差旅费、评估费、过户费、保全费、公告费、公证认证费、翻译费、执行费、保全保险费等)和其他所有应付的费用之和提供连带责任保证,三烨科技的其他股东未同时承担连带保证责任。",2025-06-25
67,code.301162,国能日新,对外担保,国能日新科技股份有限公司(以下简称“公司”)控股子公司江苏江阴-靖江工业园区亚辉新能源科技有限公司(以下简称“亚辉新能源”)拟为其全资子公司江苏江阴-靖江工业园区易伏能新能源科技有限公司(以下简称“易伏能新能源”)向招商银行股份有限公司南京分行(以下简称“招商银行”)申请的700万元贷款提供连带责任保证担保。,2025-06-25
68,code.301377,鼎泰高科,对外担保,"近日,公司与珠海华润银行股份有限公司东莞分行签订了《最高额保证合同》,公司为鼎泰鑫向珠海华润银行股份有限公司东莞分行申请授信提供不超过人民币1,000万元的连带责任保证。",2025-06-25
69,code.301511,德福科技,对外担保,"近日,公司与交通银行股份有限公司九江分行(以下简称“交通银行”)、中国工商银行股份有限公司九江八里湖支行(以下简称“工商银行”)、中国建设银行股份有限公司九江市分行(以下简称“建设银行”)、中信银行股份有限公司九江分行(以下简称“中信银行”)及兴业银行股份有限公司九江分行(以下简称“兴业银行”)签订了合同编号:BZ20250045《银团贷款保证合同》,约定公司为九江琥珀新材料有限公司(以下简称“琥珀新材”)与交通银行、工商银行、建设银行、中信银行、兴业银行签订的固定资产银团贷款合同提供最高额为人民币50,000万元的担保保证。",2025-06-25
70,code.600219,南山铝业,股份质押,"公司股东山东怡力电业有限公司将持有的本公司股份55097万股质押给中信证券股份有限公司,质押起始日2025/06/23质押到期日2026/06/22并于2025年06月23日办理质押登记手续。",2025-06-25
71,code.600246,万通发展,资产重组,"北京万通新发展集团股份有限公司控股股东嘉华东方控股(集团)有限公司持有的公司2,000万股股票和2.8亿股股票(分别占公司总股本的1.01%和14.09%),将于2024年12月28日10时至12月29日10时被公开拍卖,展示起拍价:10.8元/股;嘉华控股及其一致行动人万通投资控股股份有限公司合计持有的公司96,084,371股(占公司总股本的4.83%),将于2024年12月12日10时至12月13日10时被公开拍卖,展示起拍价:9.5元/股;万通控股持有的公司150万股(占公司总股本的0.08%),将于2024年12月9日10时至12月10日10时被公开拍卖,拍卖合议价:9,744,000元,起拍价:6,820,800元。上述股份预计将在2025年5月28日10时至2025年5月29日10时止(延时的除外)进行二次拍卖。",2025-06-25
72,code.600255,鑫科材料,对外担保,"2025年6月24日,公司与江苏银行股份有限公司无锡分行(以下简称“江苏银行无锡分行”)签署了《最高额保证合同》,为全资子公司鑫谷和与江苏银行无锡分行的授信业务提供最高额不超过5,000万元的连带责任保证。保证期间为三年,上述担保不存在反担保。自本《最高额保证合同》生效日起,公司与江苏银行无锡分行于2024年6月签订的《最高额保证合同》(编号:BZ022224000958)(详见公司2024年6月22日于上海证券交易所网站披露的《关于为全资子公司提供担保的公告》(临2024-036))自动解除。",2025-06-25
73,code.600336,澳柯玛,对外担保,"2025年6月24日,公司与中国光大银行股份有限公司青岛分行签署了《最高额保证合同》,约定为生物医疗公司在2025年6月24日至2026年6月23日期间内,于该行办理融资授信业务提供最高本金余额1,000万元人民币的保证担保。",2025-06-25
74,code.600363,联创光电,股份质押,"公司股东江西省电子集团有限公司将持有的本公司股份187万股质押给重庆国际信托股份有限公司,质押起始日2025/6/23至质押到期日2027/1/2并于2025年06月23日办理质押登记手续。",2025-06-25
75,code.600373,中文传媒,对外担保,"为提高公司流动资产的使用效率,满足子公司蓝海国贸日常生产经营需要,近日,公司与中国农业银行股份有限公司南昌九龙湖支行签订《最高额保证合同》。",2025-06-25
76,code.600409,三友化工,资产重组,"为支持公司“三转”战略实施,加快构建“三链一群”产业布局,发展壮大有机硅产业,促进公司控股子公司唐山三友硅业股份有限公司稳健发展,公司控股股东唐山三友碱业(集团)有限公司拟采取非公开协议方式按照评估值定价以自有资金人民币10,000万元对唐山三友硅业股份有限公司进行增资扩股,唐山三友硅业股份有限公司原股东即公司及唐山三友氯碱有限责任公司均不参与本次增资,本次增资构成关联交易。",2025-06-25
77,code.600422,昆药集团,对外担保,"为支持旗下全资及控股子公司生产经营及业务发展,2025年6月23日,在上述批准范围内公司发生如下担保。",2025-06-25
78,code.600456,宝钛股份,资产重组,"宝鸡钛业股份有限公司拟以增资扩股方式取得陕西万豪钛金特材科技有限公司51%股权,增资价款28,655.93万元。本次交易完成后,万豪钛金成为公司的控股子公司,并拟更名为“陕西宝钛万豪钛业有限公司”(以市场监督管理部门最终核准登记的为准)。",2025-06-25
79,code.600478,科力远,资产重组,"公司于2025年6月24日收到持股5%以上股东吉利科技的通知,其与欣迈捷于2025年6月23日签署了《关于湖南科力远新能源股份有限公司之股份转让协议》,于2025年6月24日签署了《关于湖南科力远新能源股份有限公司之股份转让协议之补充协议》,吉利科技拟通过协议转让方式,将其持有的公司无限售条件流通股股份91,604,750股(占公司总股本5.50%)转让给欣迈捷。",2025-06-25
80,code.600487,亨通光电,股份质押,"公司股东亨通集团有限公司将持有的本公司股份415万股质押给渤海银行股份有限公司苏州分行,质押起始日2025/06/23至办理解除质押登记手续为止并于2025年06月23日办理质押登记手续。",2025-06-25
81,code.600500,中化国际,对外担保,"近日,公司收到中行中卫分行出具的《履行担保责任通知书》(以下简称“《通知书》”)。中行中卫分行已根据《借款合同》第十四条的约定,因宁夏锂电信用状况下降,盈利能力、偿债能力、营运能力、现金流量指标突破合同约定的指标约束,触发加速还款条款,主张《借款合同》项下尚未偿还的贷款本息全部到期,提前到期日为2025年6月23日。同时根据《保证合同》的约定,要求公司作为以上贷款的保证人应当履行担保责任,代为清偿《借款合同》项下全部未清偿的贷款本息。公司代为清偿前述到期贷款本息后,该笔款项对应权利义务(包括抵押权在内的从权利)概括转移至公司。截至本公告日,公司已根据《保证合同》的有关约定于上述贷款提前到期日向中行中卫分行支付了228,006,190.50元(其中:本金226,410,000.00元,利息1,596,190.50元)。本次履行担保责任后,公司无其他为宁夏锂电提供担保的情形。",2025-06-25
82,code.600590,泰豪科技,对外担保,"泰豪电源拟为公司在上海浦发银行南昌分行不超过1.30亿元、江西银行南昌高新支行不超过7.50亿元、交通银行江西省分行不超过4.78亿元,合计不超过13.58亿元的银行授信提供连带责任担保。",2025-06-25
83,code.600626,申达股份,对外担保,"Auria公司为上海申达股份有限公司(以下简称“申达股份”、“公司”、“本公司”)之间接全资子公司。Auria公司于2025年4月18日与招商银行股份有限公司上海分行(以下简称“招商银行上海分行”、“银行”)签署了《信贷协议》,信贷额度为6,000万美元。申达股份于2025年6月24日与招商银行上海分行签署了《不可撤销担保书》,分别为拟提款的1,000万欧元及500万欧元贷款提供连带责任担保。",2025-06-25
84,code.600665,天地源,对外担保,"为确保“天地源源棠樾坊”项目的开发建设,2022年6月15日,经公司第九届董事会第五十八次会议审议同意,公司下属全资子公司西安天地源向陕西秦农农村商业银行股份有限公司鱼化支行(以下简称秦农银行鱼化支行)申请项目开发贷款,贷款额度不超过6.3亿元,贷款期限为3年,融资成本不高于4.8%/年,当前贷款余额为4.32亿元(详见2022-036号公告)。因该笔贷款即将期满,西安天地源根据经营需要,经与秦农银行鱼化支行协商,拟申请将该笔贷款期限展期至2026年12月21日,公司为该笔贷款余额展期继续提供连带责任保证担保",2025-06-25
85,code.600706,曲江文旅,资产重组,"我司于2025年6月23日知悉,陕西省西安市雁塔区人民法院执行局于2025年6月20日将文旅集团持有的曲江文旅股票800万股过户至西安中马国际置业有限公司。该部分股票占曲江文旅股份总股本比例为3.14%,占文旅集团持股的6.99%。",2025-06-25
86,code.600707,彩虹股份,股份质押,"公司股东陕西如意广电科技有限公司将持有的本公司股份4000万股质押给陕西长安汇通融资租赁有限公司,质押起始日2025/06/23至质押到期日2028/06/23并于2025年06月23日办理质押登记手续。",2025-06-25
87,code.600732,爱旭股份,对外担保,"近日,公司与汇丰银行(中国)有限公司签署《保证书》,为广东爱旭、浙江爱旭、天津爱旭、珠海爱旭、Aiko Energy Netherlands 及Aiko Energy Singapore在该行办理的综合授信业务合计提供2.80亿元的连带责任保证担保。",2025-06-25
88,code.600830,香溢融通,对外担保,"鉴于公司与中国建设银行股份有限公司杭州吴山支行(以下简称:建设银行杭州吴山支行)于2022年7月27日签订的《最高额保证合同》将于2024年6月23日到期。为继续支持公司工程保函担保业务拓展,2024年6月18日,公司与建设银行杭州吴山支行续签了《最高额保证合同》,公司为香溢担保与建设银行杭州吴山支行在2024年6月24日至2025年6月23日期间签订的出具保函协议项下的一系列债务提供最高额保证,保证责任的最高限额为人民币1,118,335,352.52元。",2025-06-25
89,code.600830,香溢融通,对外担保,"鉴于公司与中国建设银行股份有限公司杭州吴山支行(以下简称:建设银行杭州吴山支行)原签订的《最高额保证合同》已到期。为继续支持公司工程保函担保业务拓展,公司与建设银行杭州吴山支行新签订《最高额保证合同》,公司为香溢担保与建设银行杭州吴山支行在2025年6月24日至2026年5月28日期间签订的出具保函协议项下的一系列债务提供最高额保证,保证责任的最高限额为人民币1,118,335,352.52元。2025年6月24日,公司收到上述合同。",2025-06-25
90,code.601127,赛力斯,资产重组,"为进一步提升赛力斯集团股份有限公司控股子公司赛力斯汽车有限公司综合实力,助力战略纵深布局,赛力斯汽车拟引入工银金融资产投资有限公司、交银金融资产投资有限公司、农银金融资产投资有限公司等战略投资者,共同对赛力斯汽车以货币方式进行增资。截至本公告披露日,赛力斯汽车已在前述增资额度内引入战略投资者工银金融资产投资有限公司、交银金融资产投资有限公司、农银金融资产投资有限公司、深圳市鑫麦穗投资管理有限公司、建投投资有限责任公司、北京中移数字新经济产业基金合伙企业(有限合伙)、上海中移数字转型产业私募基金合伙企业(有限合伙)、宝武绿碳私募投资基金(上海)合伙企业(有限合伙)及北京光曜致新汇京股权投资基金合伙企业(有限合伙),该等投资者分别向赛力斯汽车投资人民币10亿元、10亿元、5亿元、5亿元、2亿元、6亿元、2亿元、5亿元、5亿元,合计人民币50亿元。",2025-06-25
91,code.601778,晶科科技,资产重组,"为持续推进“滚动开发”的轻资产运营战略,加快资产周转效率,晶科电力科技股份有限公司拟与中建投租赁、天津金建实施一揽子交易。公司下属4家工商业分布式光伏电站项目公司拟将其名下的光伏电站设备全部销售给中建投租赁,设备含税销售价格合计为人民币28,651.45万元;同时,公司将上述项目公司的股权整合至全资下属公司横峰晶格旗下,并拟将横峰晶格的100%股权转让给天津金建,股权转让价格为人民币1万元。本次交易项下的设备含税销售价格和股权转让价格合计为人民币28,652.45万元,涉及光伏电站并网装机容量合计约76.55MW。",2025-06-25
92,code.601899,紫金矿业,对外担保,"公司第八届董事会第十次会议审议通过了《关于2025年度担保计划的议案》并于2025年3月22日披露了《2025年度担保计划的公告》(编号:临2025-021),根据董事会授权,经研究,公司同意为金山香港向中国银行申请总额不超过人民币42亿元贷款提供连带责任担保,担保期限不超过5年;同意为紫金海南向进出口银行海南省分行申请总额不超过人民币3.322亿元贷款提供连带责任担保,担保期限不超过5年;同意为紫金实业向上海浦东发展银行申请总额不超过人民币6.87亿元贷款提供连带责任担保,担保期限不超过6年。",2025-06-25
93,code.603001,奥康国际,股份质押,"公司股东王振滔将持有的本公司股份2600万股质押给天津信托有限责任公司,质押起始日2025/06/23至质权人申请解除质押登记为止并于2025年06月23日办理质押登记手续。",2025-06-25
94,code.603045,福达合金,对外担保,"近日,福达合金材料股份有限公司(以下简称“公司”)与上海银行股份有限公司温州分行(以下简称“上海银行”)签订了《最高额保证合同》,为上海银行向公司全资子公司浙江福达合金材料科技有限公司(以下简称“福达科技”)提供的银行授信额度提供连带责任保证,担保期限为主合同项下债务履行期届满之日起三年。",2025-06-25
95,code.603070,万控智造,股份质押,"公司股东木信德将持有的本公司股份672万股质押给杭州银行股份有限公司科技支行,质押起始日期2025/06/23,到期日期2028/06/19并于2025年06月23日办理质押登记手续。",2025-06-25
96,code.603119,浙江荣泰,资产重组,"浙江荣泰电工器材股份有限公司拟在浙江嘉兴投资设立全资子公司,公司最终名称以市场监管部门登记为准。公司以自有资金出资2,000万元,占该公司注册资本的100%。",2025-06-25
97,code.603186,华正新材,对外担保,"为支持全资子公司杭州华聚的经营发展,并根据其资金需求情况,公司于2025年6月23日与中国银行股份有限公司杭州市余杭支行(以下简称“中国银行杭州余杭支行”)签订了《最高额保证合同》,为杭州华聚办理的最高债权额为3,500万元人民币的授信业务提供连带责任保证。",2025-06-25
98,code.603233,大参林,股份质押,"公司股东柯康保将持有的本公司股份1500万股质押给兴业国际信托有限公司,质押起始日2025/06/23至质押到期日2026/06/24并于2025年06月23日办理质押登记手续。",2025-06-25
99,code.603323,苏农银行,股份质押,"公司股东亨通集团有限公司将持有的本公司股份4470万股质押给渤海银行股份有限公司苏州分行,质押起始日2025/6/23至质押到期日2026/6/23并于2025年06月23日办理质押登记手续。",2025-06-25
100,code.603336,宏辉果蔬,资产重组,"宏辉果蔬股份有限公司于近日收到全资子公司GREAT-SUN FOODSTUFFS (HONGKONG) CO. LIMITED【宏辉果蔬(香港)有限公司】的通知,根据马来西亚热带水果种植基地建设项目的实际出资情况,已完成相应的增资手续。",2025-06-25
101,code.603380,易德龙,股份质押,"公司股东王明将持有的本公司股份377万股质押给南京证券股份有限公司,质押起始日2025/06/23至质押到期日2026/06/23并于2025年06月23日办理质押登记手续。",2025-06-25
102,code.603600,永艺股份,股份质押,"公司股东永艺控股有限公司将持有的本公司股份555万股质押给杭州银行股份有限公司湖州分行,质押起始日2025/06/23质押到期日2026/06/18并于2025年06月23日办理质押登记手续。",2025-06-25
103,code.603611,诺力股份,资产重组,"诺力智能装备股份有限公司控股子公司中鼎智能(无锡)科技股份有限公司拟将其持有的无锡森和大智能装备有限公司100%的股权转让给无锡惠西高新技术产业发展有限公司,本次股权转让价款为人民币2,820万元。",2025-06-25
104,code.603612,索通发展,对外担保,"本次公司为嘉峪关预焙阳极、嘉峪关炭材料提供的担保金额分别为人民币5,000万元。",2025-06-25
105,code.603656,泰禾智能,资产重组,"合肥泰禾智能科技集团股份有限公司拟筹划以现金方式收购阳光新能源开发股份有限公司持有的安徽阳光优储新能源有限公司100%股权,交易金额4,580.00万元。",2025-06-25
106,code.603679,华体科技,对外担保,"四川华体照明科技股份有限公司(以下简称“公司”)于2025年6月23日召开第五届董事会第十四次会议及第五届监事会第九次会议,审议通过了《关于向客户提供融资租赁担保的议案》,具体情况如下:公司拟与四川元启同程新能源科技有限公司(以下简称”元启同程”)、浙江浙银金融租赁股份有限公司(以下简称”浙银金租“)签订租赁物买卖合同,公司向元启同程销售合同金额为91,001,688元(含税)的重卡超充站项目相关的液冷超充设备。元启同程因资金原因向浙银金租融资91,001,688元,用于支付购买公司设备价款,并一次性向浙银金租首付租金13,651,688元。为保障浙银金租债权的实现,公司将向浙银金租提供一定的合作风险金,该笔合作风险金金额为7,735,000元,计算公式为(租赁物买卖合同金额91,001,688元-首付租金13,651,688元)*10%。公司承担的全部保证责任以合作风险金金额为限。",2025-06-25
107,code.605178,时空科技,股份质押,"公司股东宫殿海将持有的本公司股份34.9964万股,.0036万股,136万股共计171万股分3笔质押给北京中关村科技融资担保有限公司,质押起始日2025/06/18至质押到期日2028/06/18并于2025年06月18日办理质押登记手续。",2025-06-25
108,code.605358,立昂微,对外担保,"为满足生产经营等对资金的需求,浙江金瑞泓向兴业银行宁波分行、光大银行宁波分行、浦发银行宁波分行分别申请借款21,600万元、15,000万元、10,000万元,立昂东芯向民生银行杭州分行申请借款5,000万元,立昂半导体、金瑞泓半导体、金瑞泓昂芯分别向宁波银行杭州分行申请借款1,000万元,公司近日与兴业银行宁波分行、光大银行宁波分行、浦发银行宁波分行、民生银行杭州分行、宁波银行杭州分行签署了保证合同为上述借款提供连带责任保证,担保金额分别为21,600万元、15,000万元、10,000万元、5,000万元、3,000万元。本次担保无反担保。",2025-06-25
109,code.605368,蓝天燃气,股份质押,"公司股东河南蓝天集团股份有限公司将持有的本公司股份3520万股质押给兴业银行股份有限公司驻马店分行,质押起始日期2025/06/16,到期日期2028/06/15并于2025年06月16日办理质押登记手续。",2025-06-25
110,code.688037,芯源微,资产重组,"因沈阳芯源微电子设备股份有限公司持股5%以上的股东沈阳先进制造技术产业有限公司于2025年3月10日与北方华创科技集团股份有限公司签署了《股份转让协议》,先进制造拟将其持有的19,064,915股公司股份以88.48元/股的价格转让给北方华创,占公司总股本的9.49%。此外,同日公司持股5%以上的股东沈阳中科天盛自动化技术有限公司拟通过公开征集转让方式协议转让其持有的全部股份16,899,750股,占公司总股本的8.41%。北方华创将积极通过参与公开挂牌竞买等方式继续增持公司股份并取得对公司的控制权。",2025-06-25
111,code.688372,伟测科技,资产重组,"公司于2025年6月24日召开第二届董事会第十九次会议,审议通过了《关于公司对外投资的议案》。为完善全国战略布局,扩大市场份额,提升综合竞争力,深度服务西南区域的集成电路产业客户群,公司拟在成都市投资不超过人民币10亿元,主要用于设备购置、场地建设及土地购置等(最终投资金额以项目实际投资为准)。",2025-06-25
112,code.688516,奥特维,对外担保,"此外,在上述保理额度及期限内,公司拟为子公司无锡奥特维旭睿科技有限公司(以下简称旭睿科技)、无锡松瓷机电有限公司(以下简称松瓷机电)、无锡奥特维科芯半导体技术有限公司(以下简称科芯技术)、无锡奥特维智能装备有限公司(以下简称智能装备)、普乐新能源(蚌埠)有限公司(以下简称普乐新能源)、无锡普乐新能源有限公司(以下简称无锡普乐)、无锡奥特维智远装备有限公司(以下简称智远装备)在开展应收账款保理业务中产生的应履行义务提供不可撤销的连带责任保证,担保范围包括子公司在保理合同项下应向保理公司支付“回购款”、“保理融资款回款”、融资利息(如有)、违约金、损害赔偿金及其他应付款项和保理公司为实现权利的费用(包括但不限于诉讼费用、仲裁费用、律师费用、公证费用、执行费用、财产保全担保费用等)。担保期限为自合同签署之日始至保理合同项下主债务履行期届满之日起满三年的期间。",2025-06-25
113,code.920547,无锡晶海,资产重组,"为进一步拓展海外市场,满足公司长期战略发展需要,提升公司产品在海外市场的竞争力和知名度,无锡晶海氨基酸股份有限公司通过自有资金新设新加坡全资子公司,本次注册资本为35万新加坡元,折合人民币约为182.97万元(以实际汇率为准计算人民币出资额),公司持有100%股权。新加坡公司设立后,后期拟设立全资孙公司荷兰公司和全资曾孙公司美国公司。荷兰公司公司由新加坡公司全额出资,美国公司由荷兰公司全额出资。荷兰公司和美国公司主营业务为海外市场开发、产品销售等。",2025-06-25
114,code.920571,国航远洋,对外担保,"国远奋进有限公司(简称“国远奋进”)和国远信诚有限公司(简称“国远信诚”)为福建国航远洋运输(集团)股份有限公司(简称“公司”)全资孙公司,信金五号(天津)船舶租赁有限公司(简称“信金五号”)和信金六号(天津)船舶租赁有限公司(简称“信金六号”)为华融金融租赁股份有限公司(简称“华融金租”)全资的两家SPV公司。国远奋进和国远信诚分别在芜湖造船厂有限公司(简称“芜湖船厂”)在建一艘8.9万载重吨散货船,根据各方友好协商,国远奋进与芜湖船厂、信金五号,国远信诚与芜湖船厂、信金六号拟分别签署《船舶建造合同转让协议》,同时国远奋进与信金五号、国远信诚与信金六号拟分别签署《融资租赁合同》,申请上述两艘在建8.9万载重吨散货船的融资租赁(直租)业务。由华融金租以其全资SPV公司信金五号和信金六号作为业务载体,租赁物为两艘8.9万载重吨级新造船,单船融资租赁合同标明的租赁物总价款约为人民币31,000万元(受美元兑人民币汇率等因素影响,该单船总价款可能会有变动),单船应付租赁本金约为人民币24,800万元(应付租赁本金将随租赁物总价款的变动而调整),租赁期限不超过142个月。该直租业务由公司及公司实控人王炎平提供连带责任担保。以上业务的具体条款以签订的合同为准。除此之外,融资租赁业务相关的租金和费用、期限、利率、担保等由公司与融资租赁公司协商确定。",2025-06-25
115,code.920914,远航精密,资产重组,"为进一步落实公司未来发展战略规划,扩大产能建设,提升公司综合实力,公司全资子公司江苏阿凡达能源科技有限公司拟以自有资金购买江苏省无锡市宜兴市绿园路与新岳路交界处西北角的一宗国有建设用地使用权,计划用地规模约91.08亩(最终面积以土地管理部门实测为准),总金额预计在5,000万元以内。2025年5月29日,江苏阿凡达通过宜兴市自然资源和规划局组织的国有建设用地使用权网上挂牌出让活动,以4,555万元成功竞得位于新街街道百合村的一宗国有建设用地使用权。2025年6月25日,江苏阿凡达取得由宜兴市自然资源和规划局颁发的《中华人民共和国不动产权证书》。",2025-06-25
1,code.000035,中国天楹,股份质押,"公司股东南通乾创投资有限公司将持有的本公司股份3628万股质押给山东省国际信托股份有限公司,质押起始日2025-06-24至办理解除质押登记之日并于2025年06月24日办理质押登记手续。",2025-06-26
2,code.000408,藏格矿业,股份质押,"公司股东西藏藏格创业投资集团有限公司将持有的本公司股份2739万股质押给青海西宁农村商业银行股份有限公司,质押起始日期2025/06/20至质权人解除质押登记之日止并于2025年06月20日办理质押登记手续。",2025-06-26
3,code.000708,中信特钢,对外担保,"中信泰富特钢集团股份有限公司(以下简称“公司”)子公司天津钢管制造有限公司(以下简称“天津钢管”)拟对公司子公司天津钢管国际经济贸易有限公司(以下简称“天管国贸”)提供2.29亿元人民币的担保,具体情况如下:天管国贸在中国银行股份有限公司天津东丽支行(以下简称“中国银行”)申请2.29亿元人民币的授信额度,由天津钢管提供连带责任保证担保,担保期限为主债务合同债务期限届满之日起三年。天津钢管于2025年6月25日在天津与中国银行签署《最高额保证合同》。",2025-06-26
4,code.000718,苏宁环球,对外担保,"近日,公司全资子公司南京浦东房地产开发有限公司(以下简称“浦东地产”)与徽商银行股份有限公司(以下简称“徽商银行”)南京长江路支行签署了抵押、保证合同,为全资子公司及100%控制的南京华浦高科建材有限公司(以下简称“华浦高科”)、南京苏宁环球大酒店有限公司(以下简称“苏宁酒店”)向徽商银行申请的授信提供担保,担保的债权本金总金额为5,000万元。",2025-06-26
5,code.000723,美锦能源,对外担保,"公司控股子公司贵州美锦华宇新能源有限公司(以下简称“贵州华宇”)因生产经营需要,向中国外贸金融租赁有限公司(以下简称“外贸金租”)申请办理融资租赁(直租)业务,租赁本金2,400万元,期限为4年,公司为贵州华宇在外贸金租的融资租赁业务提供主合同项下全部债务的不可撤销连带责任保证担保,保证期间为保证合同生效之日起至主债务的履行期限届满之日起三年。",2025-06-26
6,code.000961,ST中南,对外担保,"1、为揭阳吉辰提供担保事宜(1)担保主要内容:公司全资子公司汕头中南昱熙置业有限公司质押其持有的揭阳吉辰100%股权,公司提供连带责任担保,担保金额19,998万元。(2)担保范围:有关借款合同项下的债务本金、利息、罚息、复利、违约金、损害赔偿金、为实现债权而发生的费用(包括但不限于诉讼费、仲裁费、律师费、差旅费、执行费、保全费、评估费、拍卖或变卖费、过户费、公告费等)和其他所有应付费用。(3)担保期限:债务履行期限届满之日起三年。",2025-06-26
7,code.000961,ST中南,对外担保,"2、为中南建筑提供担保事宜(1)担保主要内容:公司全资子公司南通中南新世界中心开发有限公司抵押其持有的有关物业,公司提供连带责任担保,担保金额22,000万元。(2)担保范围:主债权本金、利息、逾期利息、罚息、复利、违约金、损害赔偿金、汇率损失(因汇率变动引起的相关损失)以及鉴定费、评估费、拍卖费、诉讼费、仲裁费、公证费、律师费等为实现债权而发生的合理费用以及其他所有中南建筑的应付费用。(3)担保期限:三年。",2025-06-26
8,code.001308,康冠科技,对外担保,"近日,康冠科技就康冠商用向中国银行股份有限公司深圳布吉支行(以下简称“中国银行深圳布吉支行”)申请综合授信额度事项提供最高额连带责任保证,被担保债权的最高限额为34,000万元。",2025-06-26
9,code.001308,康冠科技,对外担保,"康冠科技就康冠商用向中国民生银行股份有限公司深圳分行(以下简称“民生银行深圳分行”)申请综合授信额度事项提供最高额连带责任保证,被担保债权的最高限额为20,000万元。",2025-06-26
10,code.001979,招商蛇口,对外担保,"为满足项目建设需要,招商局蛇口工业区控股股份有限公司(以下简称“公司”或“本公司”)之全资子公司招商局地产(杭州)有限公司(以下简称“杭州地产”)向中国工商银行股份有限公司杭州半山支行申请保函人民币1.73亿元,业务期限为3年。本公司为上述保函业务提供连带责任保证,担保本金金额不超过人民币1.73亿元,保证期间为自单笔债务履行期限届满之日起三年。",2025-06-26
